Name,Symbol
Bitcoin,BTC-USD
Ethereum,ETH-USD
Tether,USDT-USD
BinanceCoin,BNB-USD
Cardano,ADA-USD
XRP,XRP-USD
Dogecoin,DOGE-USD
USDCoin,USDC-USD
Polkadot,DOT1-USD
HEX,HEX-USD
Uniswap,UNI3-USD
BitcoinCash,BCH-USD
Litecoin,LTC-USD
Solana,SOL1-USD
Chainlink,LINK-USD
MaticNetwork,MATIC-USD
THETA,THETA-USD
EthereumClassic,ETC-USD
Stellar,XLM-USD
InternetComputer,ICP1-USD
VeChain,VET-USD
FilecoinFutures,FIL-USD
TRON,TRX-USD
Aave,AAVE-USD
EOS,EOS-USD
Monero,XMR-USD
Terra,LUNA1-USD
CryptocomCoin,CRO-USD
Cosmos,ATOM1-USD
SHIBAINU,SHIB-USD
Algorand,ALGO-USD
Maker,MKR-USD
BitcoinSV,BSV-USD
Tezos,XTZ-USD
NEO,NEO-USD
Compound,COMP-USD
IOTA,MIOTA-USD
Amp,AMP1-USD
Avalanche,AVAX-USD
TheGraph,GRT2-USD
CounosX,CCXX-USD
ThetaFuel,TFUEL-USD
Kusama,KSM-USD
Decred,DCR-USD
Elrond,EGLD-USD
BitTorrent,BTT1-USD
Stacks,STX1-USD
HederaHashgraph,HBAR-USD
Chiliz,CHZ-USD
TrueUSD,TUSD-USD
Waves,WAVES-USD
Celsius,CEL-USD
THORChain,RUNE-USD
SynthetixNetworkToken,SNX-USD
Creditcoin,CTC1-USD
Zcash,ZEC-USD
Dash,DASH-USD
yearnfinance,YFI-USD
Decentraland,MANA-USD
Helium,HNT1-USD
EnjinCoin,ENJ-USD
XinFinNetwork,XDC-USD
NEM,XEM-USD
Sushi,SUSHI-USD
Holo,HOT1-USD
Quant,QNT-USD
Harmony,ONE2-USD
Zilliqa,ZIL-USD
BasicAttentionToken,BAT-USD
BitcoinGold,BTG-USD
Celo,CELO-USD
Bancor,BNT-USD
Horizen,ZEN-USD
WhiteCoin,XWC-USD
DeFiChain,DFI-USD
CurveDAOToken,CRV-USD
0x,ZRX-USD
Qtum,QTUM-USD
Nano,NANO-USD
Siacoin,SC-USD
Ontology,ONT-USD
ICON,ICX-USD
DigiByte,DGB-USD
OmiseGO,OMG-USD
UMA,UMA-USD
Ankr,ANKR-USD
VoyagerToken,VGX-USD
Ravencoin,RVN-USD
BitcoinDiamond,BCD-USD
Arweave,AR-USD
PirateChain,ARRR-USD
IOST,IOST-USD
Verge,XVG-USD
TheSandbox,SAND-USD
Lisk,LSK-USD
Golem,GLM-USD
ReserveRights,RSR-USD
KyberNetwork,KNC-USD
Kava,KAVA-USD
MaidSafeCoin,MAID-USD
NervosNetwork,CKB-USD
MirrorProtocol,MIR1-USD
Loopring,LRC-USD
Bytecoin,BCN-USD
Gnosis,GNO-USD
Storj,STORJ-USD
Constellation,DAG-USD
iExecRLC,RLC-USD
Status,SNT-USD
BandProtocol,BAND-USD
Helleniccoin,HNC-USD
VeThorToken,VTHO-USD
Stratis,STRAX-USD
WAX,WAXP-USD
Orchid,OXT-USD
Fetch,FET-USD
TomoChain,TOMO-USD
Ergo,ERG-USD
IoTeX,IOTX-USD
Augur,REP-USD
Steem,STEEM-USD
FunFair,FUN-USD
EnergyWebToken,EWT-USD
Ardor,ARDR-USD
MCO,MCO-USD
Melon,MLN-USD
Civic,CVC-USD
Serum,SRM-USD
NuCypher,NU-USD
NKN,NKN-USD
Balancer,BAL-USD
Metadium,META-USD
Aragon,ANT-USD
PhalaNetwork,PHA-USD
ABBCCoin,ABBC-USD
MediBlocQRC20,MED-USD
Sapphire,SAPP-USD
Hive,HIVE-USD
Ark,ARK-USD
BitShares,BTS-USD
Wanchain,WAN-USD
Electroneum,ETN-USD
Metal,MTL-USD
Divi,DIVI-USD
Travalacom,AVA-USD
Populous,PPT-USD
XeniosCoin,XNC-USD
PACGlobal,PAC-USD
Komodo,KMD-USD
Velas,VLX-USD
COTI,COTI-USD
Bytom,BTM-USD
MonaCoin,MONA-USD
NewYorkExchange,NYE-USD
Syscoin,SYS-USD
Handshake,HNS-USD
TrustWalletToken,TWT-USD
EFFORCE,WOZX-USD
Kin,KIN-USD
Dero,DERO-USD
IRISnet,IRIS-USD
Energi,NRG-USD
district0x,DNT-USD
RSKSmartBitcoin,RBTC-USD
RChain,REV-USD
DARMACash,DMCH-USD
HavenProtocol,XHV-USD
SuperZero,SERO-USD
Aion,AION-USD
Gas,GAS-USD
ThunderToken,TT-USD
Firo,FIRO-USD
ReddCoin,RDD-USD
FIOProtocol,FIO-USD
Burst,BURST-USD
AtariToken,ATRI-USD
SONM,SNM-USD
ApolloCurrency,APL-USD
Groestlcoin,GRS-USD
SteemDollars,SBD-USD
Crust,CRU-USD
AXEL,AXEL-USD
Zenon,ZNN-USD
MimbleWimbleCoin,MWC-USD
Kadena,KDA-USD
Beam,BEAM-USD
Verasity,VRA-USD
Elastos,ELA-USD
Loki,LOKI-USD
VSystems,VSYS-USD
Waltonchain,WTC-USD
AdEx,ADX-USD
Nimiq,NIM-USD
CoinExToken,CET-USD
Massnet,MASS-USD
NULS,NULS-USD
TerraKRW,KRT-USD
PIVX,PIVX-USD
WaykiChain,WICC-USD
DigixDAO,DGD-USD
Veritaseum,VERI-USD
Nexus,NXS-USD
GXChain,GXC-USD
Aeternity,AE-USD
Sparkpoint,SRK-USD
ChainX,PCX-USD
PLATINCOIN,PLC-USD
Vertcoin,VTC-USD
HyperCash,HC-USD
NavCoin,NAV-USD
Fusion,FSN-USD
Cortex,CTXC-USD
MetaHash,MHC-USD
QASH,QASH-USD
Maro,MARO-USD
Peercoin,PPC-USD
ProjectPai,PAI-USD
PRIZM,PZM-USD
VITE,VITE-USD
BetProtocol,BEPRO-USD
Zano,ZANO-USD
CUTcoin,CUT-USD
GoChain,GO-USD
Grin,GRIN-USD
ZelCash,ZEL-USD
SOLVE,SOLVE-USD
Nebulas,NAS-USD
Namecoin,NMC-USD
Skycoin,SKY-USD
Stakenet,XSN-USD
AidosKuneen,ADK-USD
Obyte,GBYTE-USD
Neblio,NEBL-USD
MinterNetwork,BIP-USD
GameCredits,GAME-USD
LBRYCredits,LBC-USD
SALT,SALT-USD
Tael,WABI-USD
QuantumResistantLedger,QRL-USD
MetaverseDualchainNetworkArchitecture,DNA1-USD
Ondori,RSTR-USD
Gulden,NLG-USD
Particl,PART-USD
Nxt,NXT-USD
NerveNetwork,NVT-USD
Factom,FCT-USD
MetaverseETP,ETP-USD
Validity,VAL1-USD
BHPCoin,BHP-USD
TenX,PAY-USD
Dentacoin,DCN-USD
MetrixCoin,MRX-USD
TrueChain,TRUE-USD
POANetwork,POA-USD
Viacoin,VIA-USD
Aeon,AEON-USD
BitcoinHD,BHD-USD
Dynamic,DYN-USD
GHOST,GHOST1-USD
LitecoinCash,LCC-USD
Zynecoin,ZYN-USD
Bitcoin2,BTC2-USD
Ubiq,UBQ-USD
CyberMiles,CMT1-USD
Achain,ACT-USD
HighPerformanceBlockchain,HPB-USD
TurtleCoin,TRTL-USD
Blocknet,BLOCK-USD
HTMLCOIN,HTML-USD
Diamond,DMD-USD
SmartCash,SMART-USD
SafexToken,SFT-USD
Wagerr,WGR-USD
Observer,OBSR-USD
StakeCubeCoin,SCC3-USD
Vexanium,VEX-USD
Bitcore,BTX-USD
MoneroClassic,XMC-USD
InsightsNetwork,INSTAR-USD
DECOIN,DTEP-USD
Pmeer,PMEER-USD
OrientWalt,HTDF-USD
FLO,FLO-USD
Einsteinium,EMC2-USD
YOYOW,YOYOW-USD
Ambrosus,AMB-USD
AlchemyPay,ACH-USD
PCHAIN,PI-USD
RINGXPLATFORM,RINGX-USD
MatrixAINetwork,MAN-USD
Feathercoin,FTC-USD
SingularDTV,SNGLS-USD
Xaya,CHI-USD
DigitalNote,XDN-USD
Gleec,GLEEC-USD
Myriad,XMY-USD
FIBOS,FO-USD
Phore,PHR-USD
Vitae,VITAE-USD
InternetNodeToken,INT-USD
